0,1,2,3,4
835,40131117003016,3,5,81.0
838,40210002012109,5,7,81.0
839,40210002012108,7,5,81.0
840,40131167251014,5,6,81.0
841,40131167273006,5,6,81.0
842,40131065023000,9,3,81.0
845,40130715044002,8,9,81.0
848,40130820172008,8,6,81.0
849,40130820172007,8,6,81.0
850,40130820242026,8,6,81.0
851,40210003162004,7,5,81.0
852,40210003161005,7,5,81.0
853,40210003162005,5,7,81.0
855,40131125071004,8,6,81.0
856,40131132042021,3,5,81.0
858,40131071022014,9,8,81.0
859,40134207083001,3,1,81.0
860,40131167323033,5,8,81.0
861,40210003243013,5,1,39.0
862,40136140002009,9,2,39.0
863,40050013021058,7,2,39.0
864,40130304013036,7,3,39.0
866,40250016053054,7,2,39.0
871,40190040081008,7,4,39.0
876,40190020005011,4,7,39.0
877,40059451002037,2,7,39.0
879,40136190002013,3,9,39.0
880,40130506203022,6,2,39.0
881,40130506203024,8,6,39.0
888,40134202141010,3,1,39.0
889,40210008021052,7,5,39.0
890,40136147001041,9,3,39.0
894,40131089012000,5,9,39.0
895,40131089024013,9,5,39.0
898,40250016052037,2,7,39.0
900,40190046152008,4,7,39.0
901,40190046141016,7,4,39.0
902,40190045062003,7,4,39.0
905,40190004021018,7,4,39.0
912,40131166112081,5,6,39.0
914,40131166112079,6,5,39.0
916,40136147002004,9,3,39.0
917,40134202143019,1,3,39.0
918,40134202143023,1,3,39.0
919,40134202141015,1,3,39.0
921,40131172002040,8,5,39.0
922,40131152003000,5,8,39.0
923,40131152001013,8,5,39.0
926,40138159011000,1,5,39.0
930,40219413001005,5,6,39.0
931,40050015003071,7,2,39.0
934,40190004022001,4,7,39.0
938,40190045152001,4,7,39.0
939,40190040522060,4,7,39.0
940,40190040614006,4,7,39.0
941,40159548024518,2,6,39.0
942,40159548024517,6,2,39.0
943,40159548024519,6,2,39.0
948,40130715033018,9,8,39.0
949,40130715034017,9,8,39.0
950,40133190022041,5,1,39.0
951,40133190022041,1,3,39.0
952,40136124022000,7,3,39.0
953,40130506192001,6,8,39.0
954,40131118003015,8,5,39.0
955,40131118003008,8,5,39.0
956,40131118003016,8,5,39.0
957,40131166123039,5,8,39.0
958,40131167132019,5,6,39.0
959,40131167132018,5,6,39.0
960,40131142001018,8,5,39.0
962,40210012002011,5,7,39.0
963,40210020012008,5,6,39.0
966,40210013101034,5,6,39.0
967,40210013102019,6,5,39.0
971,40210008023068,7,4,39.0
972,40250015012106,7,2,39.0
973,40250015012165,2,7,39.0
975,40190043403009,6,4,39.0
977,40131166112078,6,5,39.0
981,40131032092005,3,9,39.0
982,40131032092004,3,9,39.0
984,40130610641002,8,6,39.0
985,40131167361000,5,8,39.0
987,40138165022005,5,1,39.0
988,40130405152185,2,6,39.0
994,40131167323031,8,5,39.0
995,40131167323029,8,5,39.0
996,40133201001048,5,3,39.0
997,40133197101000,3,5,39.0
998,40131036063012,3,9,39.0
999,40136125002000,3,7,39.0
1000,40130304011057,7,3,39.0
1003,40130715051021,9,8,39.0
1004,40210003191001,5,7,39.0
1005,40136146022000,9,3,39.0
1006,40131051012008,3,9,39.0
1009,40190046491042,7,4,39.0
1010,40190046491043,4,7,39.0
1011,40136134001015,9,2,39.0
1012,40130610641012,8,6,39.0
1014,40131036071009,9,3,39.0
1016,40131142001019,5,8,39.0
1017,40136190002014,3,9,39.0
1018,40130101032120,7,3,39.0
1019,40130101032122,7,3,39.0
1020,40210003162001,7,5,39.0
1021,40130820282023,6,8,39.0
1022,40131132042019,5,3,39.0
1025,40131138004008,3,5,39.0
1026,40210003162020,7,5,39.0
1027,40132168292019,7,3,39.0
1028,40133184006011,3,1,39.0
1030,40190045123015,4,7,39.0
1033,40190004021019,7,4,39.0
1035,40133201001021,5,3,39.0
1036,40130927202000,9,8,39.0
1040,40159548024388,6,2,39.0
1041,40133184006005,3,1,39.0
1042,40131051013022,9,3,39.0
1047,40210014052014,5,6,39.0
1048,40210014052013,5,6,39.0
1049,40210014052012,5,6,39.0
1051,40210012001103,5,7,39.0
1052,40210012001102,5,7,39.0
1053,40210012001133,5,7,39.0
1054,40134212011001,1,3,39.0
1056,40210008041126,5,7,39.0
1060,40190044231013,4,6,39.0
1062,40190044231009,6,4,39.0
1063,40190046491032,7,4,39.0
1064,40190008001059,4,7,39.0
1067,40134201113023,7,1,39.0
1070,40134202083013,1,3,39.0
1071,40134202082000,1,3,39.0
1072,40131166112077,5,6,39.0
1073,40131166112075,5,6,39.0
1074,40136167001000,9,3,39.0
1075,40136167002000,9,3,39.0
1076,40136168004000,9,3,39.0
1079,40250014011058,7,2,39.0
1084,40131117003004,3,5,39.0
1087,40134202141014,1,3,39.0
1088,40139413002002,7,3,39.0
1089,40132168302013,9,3,39.0
1090,40210008021218,7,6,39.0
1091,40130610542025,8,6,39.0
1092,40130610181018,6,8,39.0
1093,40210003161051,5,7,39.0
1094,40050015002085,2,7,39.0
1095,40050015003065,2,7,39.0
1096,40050013021057,2,7,39.0
1098,40190014001004,7,4,39.0
1104,40250016053053,2,7,39.0
1106,40190040522026,7,4,39.0
1108,40190004012038,4,7,39.0
1109,40190004012039,4,7,39.0
1111,40136174002009,2,9,39.0
1114,40130405121017,2,8,39.0
1115,40130405412026,2,6,39.0
1116,40130101023004,2,7,39.0
1117,40131105013011,5,8,39.0
1119,40136168003008,9,3,39.0
1122,40131167312017,5,6,39.0
1123,40136136022000,9,2,39.0
1125,40210014041015,5,6,39.0
1127,40210003101057,7,1,39.0
1128,40132168311001,3,9,39.0
1129,40210013101035,5,6,39.0
1130,40210013101048,5,6,39.0
1131,40131163003018,5,8,39.0
1133,40190046141000,7,4,39.0
1135,40190034004033,7,4,39.0
1136,40190035061003,4,7,39.0
1137,40134222111011,5,1,39.0
1139,40139410002000,6,5,39.0
1140,40210019001111,6,7,39.0
1141,40130101031010,7,3,39.0
1143,40131167381012,8,5,39.0
1144,40131167381011,8,5,39.0
1145,40131167323025,8,5,39.0
1146,40131167323024,8,5,39.0
1147,40131167323026,8,5,39.0
1149,40210008041025,7,5,39.0
1150,40134226521004,5,1,39.0
1153,40135229043011,5,1,39.0
1154,40131166123005,8,5,39.0
1155,40210008023113,7,6,39.0
1157,40130927212008,9,8,39.0
1158,40210020042030,7,6,39.0
1159,40210020042061,6,7,39.0
1160,40210019001095,6,7,39.0
1161,40130405151004,6,2,39.0
1162,40250014034167,2,6,39.0
1163,40130405151002,6,2,39.0
1164,40130927212001,8,9,39.0
1165,40131138004013,3,5,39.0
1166,40134222112024,1,5,39.0
